OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13366_121725051336.pdf","FILENAME_OMO_MATCH"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13366_121725051336 (1).pdf","FILENAME_OMO_MATCH"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13366_122225050334.pdf","FILENAME_OMO_MATCH"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13366_122225050347.pdf","FILENAME_OMO_MATCH"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13366_122225050334 (1).pdf","FILENAME_OMO_MATCH"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13366_122225050347 (1).pdf","FILENAME_OMO_MATCH"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14002_121025104506.pdf","FILENAME_OMO_MATCH"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14002_121025104506 (1).pdf","FILENAME_OMO_MATCH"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14002_122225103739.pdf","FILENAME_OMO_MATCH"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14002_122225103739 (1).pdf","FILENAME_OMO_MATCH"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ14002_121025104506.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13991_120925010030.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13991_120925125917.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13991_120925010127.pdf","FILENAME_OMO_MATCH"
