OMO,Address,COAFile,RecoveredITBFile,RecoveredITBPath
"EQ13795","531 EAST 22 STREET, 11226","EQ13795_121525031258.pdf","EQ13795_121225011132.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13795_121225011132.pdf"
"EQ13963","2950 GRAND CONCOURSE, 10458","EQ13963_121625103203.pdf","EQ13963_120825102800.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13963_120825102800.pdf"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","EQ13983_121025033528.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_121025033528.pdf"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","EQ13991_120925010030.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13991_120925010030.pdf"
"EQ14002","34-32 91 STREET, 11372","EQ14002_122225103739.pdf","EQ14002_121025104506.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14002_121025104506.pdf"
"EQ14007","95 FOUNTAIN AVENUE, 11208","EQ14007_121225012221.pdf","EQ14007_121125010234.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14007_121125010234.pdf"
"EQ14050","64-05 WOODSIDE AVENUE, 11377","EQ14050_121525043342.pdf","EQ14050_120825043126.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14050_120825043126.pdf"
"EQ14088","206 AUDUBON AVENUE, 10033","EQ14088_121525031548.pdf","EQ14088_121125040856.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14088_121125040856.pdf"
"EQ14109","368 EAST 155 STREET, 10455","EQ14109_121525042804.pdf","EQ14109_121225095055.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14109_121225095055.pdf"
"EQ14145","67-25 DARTMOUTH STREET, 11375","EQ14145_121325082514.pdf","EQ14145_121125115715.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14145_121125115715.pdf"
